390,  -3.38195,  -3.43374,  -2.02012
391,  -3.29873,  -3.34871,  -1.94008
392,  -3.21655,  -3.26443,  -1.86017
393,  -3.13558,  -3.18113,  -1.78056
394,  -3.05601,  -3.09902,  -1.70143
395,  -2.97802,  -3.01834,  -1.62297
396,  -2.90179,  -2.93929,  -1.54534
397,  -2.82753,  -2.86212,  -1.46874
398,  -2.75539,  -2.78703,  -1.39332
399,  -2.68558,  -2.71424,  -1.31929
400,  -2.61828,  -2.64399,  -1.24680
401,  -2.55358,  -2.57641,  -1.17603
402,  -2.49128,  -2.51129,  -1.10708
403,  -2.43107,  -2.44836,  -1.04004
404,  -2.37266,  -2.38732,  -0.97500
405,  -2.31575,  -2.32789,  -0.91204
406,  -2.26016,  -2.26988,  -0.85126
407,  -2.20626,  -2.21342,  -0.79280
408,  -2.15451,  -2.15877,  -0.73678
409,  -2.10541,  -2.10616,  -0.68334
410,  -2.05942,  -2.05583,  -0.63263
411,  -2.01688,  -2.00795,  -0.58472
412,  -1.97747,  -1.96240,  -0.53952
413,  -1.94074,  -1.91898,  -0.49687
414,  -1.90621,  -1.87751,  -0.45664
415,  -1.87342,  -1.83780,  -0.41866
416,  -1.84203,  -1.79970,  -0.38285
417,  -1.81215,  -1.76322,  -0.34935
418,  -1.78403,  -1.72844,  -0.31836
419,  -1.75792,  -1.69543,  -0.29008
420,  -1.73405,  -1.66424,  -0.26471
421,  -1.71253,  -1.63489,  -0.24230
422,  -1.69291,  -1.60706,  -0.22237
423,  -1.67460,  -1.58040,  -0.20427
424,  -1.65701,  -1.55454,  -0.18737
425,  -1.63956,  -1.52913,  -0.17103
426,  -1.62179,  -1.50385,  -0.15479
427,  -1.60375,  -1.47866,  -0.13879
428,  -1.58564,  -1.45359,  -0.12336
429,  -1.56764,  -1.42866,  -0.10883
430,  -1.54994,  -1.40388,  -0.09553
431,  -1.53268,  -1.37930,  -0.08364
432,  -1.51585,  -1.35503,  -0.07293
433,  -1.49936,  -1.33121,  -0.06300
434,  -1.48316,  -1.30799,  -0.05350
435,  -1.46718,  -1.28550,  -0.04404
436,  -1.45140,  -1.26389,  -0.03440
437,  -1.43604,  -1.24326,  -0.02500
438,  -1.42137,  -1.22376,  -0.01641
439,  -1.40766,  -1.20549,  -0.00919
440,  -1.39517,  -1.18857,  -0.00392
441,  -1.38406,  -1.17306,  -0.00097
442,  -1.37409,  -1.15874,  -0.00001
443,  -1.36489,  -1.14529,  -0.00049
444,  -1.35611,  -1.13244,  -0.00190
445,  -1.34739,  -1.11987,  -0.00370
446,  -1.33844,  -1.10736,  -0.00552
447,  -1.32933,  -1.09499,  -0.00761
448,  -1.32017,  -1.08292,  -0.01042
449,  -1.31109,  -1.07127,  -0.01434
450,  -1.30221,  -1.06022,  -0.01982
451,  -1.29361,  -1.04981,  -0.02710
452,  -1.28506,  -1.03976,  -0.03583
453,  -1.27628,  -1.02968,  -0.04547
454,  -1.26701,  -1.01919,  -0.05550
455,  -1.25695,  -1.00792,  -0.06538
456,  -1.24585,  -0.99554,  -0.07467
457,  -1.23361,  -0.98201,  -0.08325
458,  -1.22011,  -0.96732,  -0.09105
459,  -1.20527,  -0.95149,  -0.09805
460,  -1.18899,  -0.93452,  -0.10419
461,  -1.17126,  -0.91648,  -0.10951
462,  -1.15240,  -0.89766,  -0.11443
463,  -1.13283,  -0.87841,  -0.11945
464,  -1.11296,  -0.85907,  -0.12507
465,  -1.09318,  -0.84001,  -0.13179
466,  -1.07386,  -0.82152,  -0.14003
467,  -1.05507,  -0.80370,  -0.14990
468,  -1.03686,  -0.78660,  -0.16142
